image_id,x_1,y_1,width,height
000144.jpg,94,62,130,180
000145.jpg,756,511,998,1382
000146.jpg,162,57,137,202
000147.jpg,761,159,551,763
000148.jpg,114,65,213,295
000149.jpg,195,54,133,184
000150.jpg,340,179,286,396
000151.jpg,133,142,257,355
000152.jpg,50,75,224,310
000153.jpg,163,92,177,245
000154.jpg,222,155,229,317
000155.jpg,320,291,458,634
000156.jpg,40,89,257,356
000157.jpg,148,73,367,508
000158.jpg,22,40,114,158
000159.jpg,10,119,109,151
000160.jpg,184,84,172,238
000161.jpg,192,98,268,371
000162.jpg,140,3,78,108
000163.jpg,302,61,559,705
000164.jpg,33,46,265,367
000165.jpg,619,170,187,259
000166.jpg,467,132,276,382
000167.jpg,176,54,86,119
000168.jpg,531,363,634,878
000169.jpg,89,1,112,155
000170.jpg,141,58,130,180
000171.jpg,82,89,250,346
000172.jpg,365,293,712,986
000173.jpg,109,77,120,166
000174.jpg,82,126,260,360
000175.jpg,26,121,226,313
000176.jpg,118,60,156,216
000177.jpg,669,181,231,320
000178.jpg,88,117,174,241
000179.jpg,556,389,1050,1454
000180.jpg,113,228,374,518
000181.jpg,91,76,156,216
000182.jpg,29,14,223,310
000183.jpg,148,143,242,335
000184.jpg,21,48,190,263
000185.jpg,107,118,211,292
000186.jpg,114,75,135,187
000187.jpg,58,49,153,212
000188.jpg,181,41,192,266
000189.jpg,169,159,127,176
000190.jpg,187,19,91,126
000191.jpg,121,113,109,151
000192.jpg,118,48,60,83
000193.jpg,178,62,130,180
000194.jpg,4,59,205,284
000195.jpg,108,75,263,364
000196.jpg,48,66,296,402
000197.jpg,86,126,151,209
000198.jpg,137,89,179,248
000199.jpg,106,158,88,122
000200.jpg,68,49,195,270
000201.jpg,279,68,520,720
000202.jpg,134,41,190,263
000203.jpg,124,85,231,320
000204.jpg,68,59,174,241
000205.jpg,305,228,569,788
000206.jpg,62,98,182,252
000207.jpg,184,36,143,198
000208.jpg,278,64,250,346
000209.jpg,86,40,109,151
000210.jpg,175,46,161,223
000211.jpg,264,65,151,209
000212.jpg,110,104,426,590
000213.jpg,90,71,164,227
000214.jpg,97,98,195,270
000215.jpg,40,69,211,292
000216.jpg,84,101,244,338
000217.jpg,46,76,153,212
000218.jpg,132,101,177,245
000219.jpg,291,78,122,169
000220.jpg,90,114,252,349
000221.jpg,70,102,302,418
000222.jpg,431,119,135,187
000223.jpg,151,78,109,151
000224.jpg,107,50,130,180
000225.jpg,139,76,122,169
000226.jpg,80,34,203,281
000227.jpg,95,43,142,218
000228.jpg,66,62,109,151
000229.jpg,41,59,250,346
000230.jpg,55,41,146,201
000231.jpg,136,116,322,446
000232.jpg,202,59,143,198
000233.jpg,149,50,161,223
000234.jpg,2,28,109,151
000235.jpg,43,115,177,245
000236.jpg,111,67,96,133
000237.jpg,138,71,172,238
000238.jpg,270,46,255,353
000239.jpg,879,903,1646,2279
000240.jpg,131,107,114,158
000241.jpg,148,112,135,187
000242.jpg,657,117,296,410
000243.jpg,65,88,187,259
000244.jpg,148,26,107,148
000245.jpg,39,37,68,94
000246.jpg,100,25,104,144
000247.jpg,86,95,166,230
000248.jpg,166,59,88,122
000249.jpg,196,81,130,180
000250.jpg,14,21,205,284
000251.jpg,485,42,190,263
000252.jpg,236,91,239,331
000253.jpg,131,84,315,383
000254.jpg,384,122,270,374
000255.jpg,70,85,286,396
000256.jpg,99,90,161,223
000257.jpg,98,78,237,328
000258.jpg,591,121,263,364
000259.jpg,102,66,130,180
000260.jpg,65,28,125,173
000261.jpg,522,86,390,540
000262.jpg,297,39,78,108
000263.jpg,77,38,99,137
000264.jpg,54,76,213,295
000265.jpg,105,66,166,230
000266.jpg,59,26,359,471
000267.jpg,188,245,694,961
000268.jpg,84,95,127,176
000269.jpg,142,104,148,205
000270.jpg,82,49,153,212
000271.jpg,103,93,276,382
000272.jpg,24,72,203,245
000273.jpg,76,70,257,356
000274.jpg,47,41,120,166
000275.jpg,115,46,138,191
000276.jpg,52,71,174,241
000277.jpg,78,106,174,241
000278.jpg,25,31,81,112
000279.jpg,8,41,153,212
000280.jpg,23,35,127,176
000281.jpg,192,140,694,961
000282.jpg,28,29,127,176
000283.jpg,95,43,117,162
000284.jpg,107,38,78,108
000285.jpg,107,25,185,256
000286.jpg,86,60,164,227
000287.jpg,237,50,164,227
000288.jpg,41,40,88,122
000289.jpg,156,97,312,432
000290.jpg,146,37,216,299
000291.jpg,429,330,1482,2052
000292.jpg,46,80,182,252
000293.jpg,324,145,109,151
000294.jpg,228,105,374,518
000295.jpg,7,45,127,176
000296.jpg,108,69,164,227
000297.jpg,68,77,190,263
000298.jpg,50,66,99,137
000299.jpg,23,28,185,248
000300.jpg,42,78,156,216
000301.jpg,96,69,185,256
000302.jpg,81,83,138,191
000303.jpg,205,69,166,230
000304.jpg,79,66,296,410
000305.jpg,98,141,211,292
000306.jpg,75,50,320,443
000307.jpg,104,101,198,274
000308.jpg,318,74,125,173
000309.jpg,187,76,122,169
000310.jpg,39,71,224,310
000311.jpg,107,45,307,425
000312.jpg,91,110,198,274
000313.jpg,50,36,65,90
000314.jpg,9,1,114,151
000315.jpg,59,42,91,126
000316.jpg,126,26,172,238
000317.jpg,98,80,135,187
000318.jpg,54,46,120,166
000319.jpg,359,63,198,274
000320.jpg,37,54,198,274
000321.jpg,142,68,112,155
000322.jpg,63,80,159,220
000323.jpg,659,117,393,544
000324.jpg,152,38,109,151
000325.jpg,76,51,127,176
000326.jpg,200,62,156,216
000327.jpg,57,36,55,76
000328.jpg,161,62,117,162
000329.jpg,44,28,81,112
000330.jpg,37,50,117,162
000331.jpg,272,71,122,169
000332.jpg,157,109,247,342
000333.jpg,44,21,117,162
000334.jpg,150,61,203,281
000335.jpg,33,70,252,314
000336.jpg,133,49,179,248
000337.jpg,141,155,257,356
000338.jpg,94,42,104,144
000339.jpg,141,36,62,86
000340.jpg,88,75,174,241
000341.jpg,74,111,268,371
000342.jpg,162,97,117,162
000343.jpg,174,97,270,374
000344.jpg,60,1,307,346
000345.jpg,308,43,143,198
000346.jpg,110,65,216,299
000347.jpg,103,30,194,277
000348.jpg,647,398,918,1271
000349.jpg,84,67,120,166
000350.jpg,55,57,133,184
000351.jpg,148,53,216,299
000352.jpg,112,129,315,436
000353.jpg,137,47,135,187
000354.jpg,140,68,156,216
000355.jpg,274,41,390,540
000356.jpg,376,58,218,302
000357.jpg,140,167,302,418
000358.jpg,221,22,101,140
000359.jpg,77,89,203,281
000360.jpg,90,112,179,248
000361.jpg,249,24,185,256
000362.jpg,84,72,234,324
000363.jpg,20,57,205,284
000364.jpg,103,77,153,212
000365.jpg,44,112,291,403
000366.jpg,232,40,125,173
000367.jpg,25,57,138,191
000368.jpg,120,49,96,133
000369.jpg,46,51,109,151
000370.jpg,135,36,127,176
000371.jpg,200,119,356,493
000372.jpg,72,47,146,202
000373.jpg,451,64,174,241
000374.jpg,56,32,221,306
000375.jpg,114,187,372,515
000376.jpg,228,21,151,209
000377.jpg,92,56,179,248
000378.jpg,192,87,109,151
000379.jpg,239,71,133,184
000380.jpg,89,94,208,288
000381.jpg,392,211,361,500
000382.jpg,74,51,143,198
000383.jpg,17,67,315,420
000384.jpg,216,63,130,180
000385.jpg,255,15,153,212
000386.jpg,144,38,148,205
000387.jpg,133,98,101,140
000388.jpg,128,76,182,252
000389.jpg,54,54,135,187
000390.jpg,105,12,117,162
000391.jpg,240,38,107,148
000392.jpg,54,132,359,497
000393.jpg,178,70,112,155
000394.jpg,152,74,138,191
000395.jpg,461,203,393,544
000396.jpg,86,65,146,202
000397.jpg,141,88,185,256
000398.jpg,51,67,255,314
000399.jpg,30,81,304,416
000400.jpg,41,19,83,115
000401.jpg,68,60,260,339
000402.jpg,82,25,146,202
000403.jpg,58,33,159,220
000404.jpg,119,66,99,137
000405.jpg,480,291,655,907
000406.jpg,165,140,255,353
000407.jpg,101,24,99,137
000408.jpg,91,186,304,415
000409.jpg,77,52,179,248
000410.jpg,41,65,68,94
000411.jpg,85,72,140,194
000412.jpg,104,62,237,328
000413.jpg,127,149,270,348
000414.jpg,73,35,211,292
000415.jpg,240,217,398,551
000416.jpg,122,9,91,126
000417.jpg,134,48,112,184
000418.jpg,17,40,130,180
000419.jpg,93,44,153,212
000420.jpg,146,75,146,202
000421.jpg,196,42,151,209
000422.jpg,101,43,172,238
000423.jpg,69,63,190,263
000424.jpg,79,71,169,234
000425.jpg,139,49,224,310
000426.jpg,84,47,146,202
000427.jpg,35,24,99,137
000428.jpg,60,67,107,148
000429.jpg,191,143,107,148
000430.jpg,363,125,231,320
000431.jpg,107,168,398,551
000432.jpg,273,286,387,536
000433.jpg,163,64,120,166
000434.jpg,259,178,387,536
000435.jpg,69,77,172,238
000436.jpg,97,78,169,234
000437.jpg,31,52,172,238
000438.jpg,27,53,78,108
000439.jpg,42,27,161,223
000440.jpg,16,21,62,86
000441.jpg,102,111,133,184
000442.jpg,531,89,575,796
000443.jpg,190,62,244,338
000444.jpg,180,147,354,490
000445.jpg,388,105,273,378
000446.jpg,48,125,237,328
000447.jpg,179,158,151,209
000448.jpg,64,47,283,392
000449.jpg,66,78,185,256
000450.jpg,124,45,218,302
000451.jpg,139,99,203,281
000452.jpg,88,90,135,187
000453.jpg,138,163,114,158
000454.jpg,147,71,113,187
000455.jpg,91,93,153,212
000456.jpg,145,54,177,245
000457.jpg,86,73,203,281
000458.jpg,73,158,151,209
000459.jpg,280,252,642,889
000460.jpg,163,71,255,353
000461.jpg,94,48,185,256
000462.jpg,85,94,164,227
000463.jpg,179,28,101,140
000464.jpg,151,29,112,155
000465.jpg,240,48,120,166
000466.jpg,90,118,177,245
000467.jpg,93,64,120,166
000468.jpg,504,517,250,346
000469.jpg,70,73,213,295
000470.jpg,103,19,99,137
000471.jpg,69,100,182,252
000472.jpg,122,59,109,151
000473.jpg,88,54,192,266
000474.jpg,99,25,86,119
000475.jpg,189,3,190,263
000476.jpg,138,66,148,205
000477.jpg,15,28,101,140
000478.jpg,221,56,166,230
000479.jpg,159,42,138,191
000480.jpg,98,47,187,259
000481.jpg,138,206,655,907
000482.jpg,358,50,195,270
000483.jpg,104,73,68,94
000484.jpg,154,93,156,216
000485.jpg,193,63,161,223
000486.jpg,89,80,146,202
000487.jpg,55,69,231,320
000488.jpg,105,86,182,252
000489.jpg,114,112,234,324
000490.jpg,200,182,205,284
000491.jpg,212,92,185,288
000492.jpg,103,118,226,313
000493.jpg,51,52,164,227
000494.jpg,195,92,286,396
000495.jpg,84,134,221,306
000496.jpg,117,75,96,133
000497.jpg,187,66,265,367
000498.jpg,58,70,174,241
000499.jpg,144,42,138,191
000500.jpg,56,89,205,284
000501.jpg,147,60,192,266
000502.jpg,283,59,218,302
000503.jpg,228,91,369,511
000504.jpg,93,88,187,259
000505.jpg,56,51,211,292
000506.jpg,92,83,177,245
000507.jpg,92,54,234,324
000508.jpg,195,77,221,306
000509.jpg,15,51,65,90
000510.jpg,119,128,177,245
000511.jpg,55,35,78,108
000512.jpg,13,51,302,418
000513.jpg,73,61,172,238
000514.jpg,992,440,559,774
000515.jpg,40,91,237,328
000516.jpg,105,84,216,299
000517.jpg,70,45,94,130
000518.jpg,120,76,211,292
000519.jpg,375,444,785,1087
000520.jpg,157,15,130,180
000521.jpg,21,73,299,414
000522.jpg,125,99,190,263
000523.jpg,42,92,101,140
000524.jpg,120,144,255,353
000525.jpg,23,41,62,86
000526.jpg,130,63,234,324
000527.jpg,140,88,187,259
000528.jpg,56,80,174,241
000529.jpg,411,52,185,256
000530.jpg,189,17,122,169
000531.jpg,132,53,96,133
000532.jpg,174,65,109,151
000533.jpg,75,16,140,194
000534.jpg,628,138,276,382
000535.jpg,13,112,174,241
000536.jpg,739,150,504,698
000537.jpg,85,37,161,223
000538.jpg,231,70,143,198
000539.jpg,96,54,166,230
000540.jpg,58,78,218,302
000541.jpg,93,76,192,266
000542.jpg,206,89,234,324
000543.jpg,101,63,205,261
000544.jpg,438,99,299,414
000545.jpg,430,371,1799,2491
000546.jpg,135,65,112,155
000547.jpg,151,31,159,220
000548.jpg,256,63,143,198
000549.jpg,42,87,341,472
000550.jpg,29,13,416,576
000551.jpg,74,65,130,180
000552.jpg,84,66,172,238
000553.jpg,128,107,216,299
000554.jpg,1,37,205,284
000555.jpg,72,20,122,169
000556.jpg,75,68,203,281
000557.jpg,526,285,304,421
000558.jpg,20,22,102,134
000559.jpg,88,68,96,133
000560.jpg,16,22,135,168
000561.jpg,87,90,195,270
000562.jpg,231,40,99,137
000563.jpg,72,27,161,223
000564.jpg,94,53,174,241
000565.jpg,685,155,315,436
000566.jpg,124,90,151,209
000567.jpg,367,91,213,295
000568.jpg,39,65,161,223
000569.jpg,114,52,114,158
000570.jpg,51,41,231,320
000571.jpg,186,44,117,162
000572.jpg,293,58,91,126
000573.jpg,131,61,111,169
000574.jpg,165,46,94,130
000575.jpg,108,47,166,230
000576.jpg,86,32,140,194
000577.jpg,107,6,192,248
000578.jpg,46,54,216,299
000579.jpg,1,50,122,169
000580.jpg,523,121,265,367
000581.jpg,192,49,107,148
000582.jpg,131,73,148,205
000583.jpg,109,51,177,245
000584.jpg,101,18,161,223
000585.jpg,48,88,294,407
000586.jpg,136,121,195,270
000587.jpg,72,126,166,230
000588.jpg,159,52,125,173
000589.jpg,98,98,169,234
000590.jpg,281,129,133,184
000591.jpg,36,51,250,322
000592.jpg,76,71,226,306
000593.jpg,167,23,164,227
000594.jpg,145,98,200,277
000595.jpg,234,64,187,259
000596.jpg,41,23,109,151
000597.jpg,106,52,127,176
000598.jpg,165,56,120,166
000599.jpg,247,103,320,443
000600.jpg,201,299,543,721
000601.jpg,106,33,101,140
000602.jpg,162,115,81,112
000603.jpg,227,168,140,194
000604.jpg,42,61,192,266
000605.jpg,44,105,239,331
000606.jpg,120,52,122,169
000607.jpg,1754,125,764,1058
000608.jpg,50,65,190,263
000609.jpg,460,53,244,338
000610.jpg,187,138,138,191
000611.jpg,233,64,161,223
000612.jpg,232,32,140,194
000613.jpg,33,30,81,112
000614.jpg,1205,110,246,407
000615.jpg,711,587,1186,1642
000616.jpg,110,88,179,248
000617.jpg,75,92,169,234
000618.jpg,360,74,289,400
000619.jpg,105,58,114,158
000620.jpg,15,32,86,119
000621.jpg,60,37,75,104
000622.jpg,41,118,281,389
000623.jpg,157,75,172,238
000624.jpg,86,54,244,338
000625.jpg,62,18,68,94
000626.jpg,221,40,109,151
000627.jpg,181,66,109,151
000628.jpg,262,123,122,169
000629.jpg,121,97,278,385
000630.jpg,45,47,83,115
000631.jpg,112,44,109,151
000632.jpg,402,319,317,439
000633.jpg,84,71,179,248
000634.jpg,442,77,151,209
000635.jpg,45,41,70,97
000636.jpg,56,44,133,184
000637.jpg,104,68,252,349
000638.jpg,88,52,135,187
000639.jpg,127,73,250,346
000640.jpg,111,96,172,238
000641.jpg,65,61,159,220
000642.jpg,59,76,99,137
000643.jpg,173,92,148,205
000644.jpg,149,135,133,184
000645.jpg,139,64,148,205
000646.jpg,420,169,460,637
000647.jpg,104,99,190,263
000648.jpg,409,448,120,166
000649.jpg,176,51,166,230
000650.jpg,62,98,151,209
000651.jpg,158,106,372,515
000652.jpg,48,59,263,364
000653.jpg,106,68,99,137
000654.jpg,126,42,242,335
000655.jpg,43,82,208,288
000656.jpg,146,94,260,360
000657.jpg,51,28,42,58
000658.jpg,98,27,156,216
000659.jpg,83,90,211,292
000660.jpg,50,39,81,112
000661.jpg,117,80,172,238
000662.jpg,160,73,164,227
000663.jpg,157,35,135,187
000664.jpg,212,29,151,209
000665.jpg,255,181,351,486
000666.jpg,111,66,133,184
000667.jpg,124,104,182,252
000668.jpg,127,104,156,216
000669.jpg,810,190,273,378
000670.jpg,41,146,104,144
000671.jpg,61,54,120,166
000672.jpg,105,57,172,238
000673.jpg,303,63,317,439
000674.jpg,457,110,736,908
000675.jpg,349,1,432,598
000676.jpg,133,83,174,241
000677.jpg,86,34,122,169
000678.jpg,88,80,107,148
000679.jpg,31,1,266,371
000680.jpg,91,68,127,176
000681.jpg,28,67,122,169
000682.jpg,101,28,75,104
000683.jpg,86,23,226,313
000684.jpg,8,26,112,155
000685.jpg,220,36,104,144
000686.jpg,186,48,161,223
000687.jpg,113,29,257,356
000688.jpg,100,33,192,266
000689.jpg,93,74,255,364
000690.jpg,22,54,140,194
000691.jpg,461,99,242,335
000692.jpg,546,98,369,511
000693.jpg,100,73,179,248
000694.jpg,92,89,307,436
000695.jpg,36,40,176,229
000696.jpg,181,70,94,130
000697.jpg,176,23,140,194
000698.jpg,200,29,88,122
000699.jpg,99,83,289,400
000700.jpg,231,63,120,166
000701.jpg,108,113,156,216
000702.jpg,137,187,286,396
000703.jpg,114,98,151,209
000704.jpg,85,42,75,104
000705.jpg,42,44,52,72
000706.jpg,42,41,94,130
000707.jpg,66,37,122,169
000708.jpg,142,39,148,205
000709.jpg,78,90,205,282
000710.jpg,94,78,205,284
000711.jpg,110,40,75,104
000712.jpg,69,66,169,234
000713.jpg,33,53,172,238
000714.jpg,153,72,273,378
000715.jpg,722,507,1149,1591
000716.jpg,134,104,83,115
000717.jpg,73,46,948,1422
000718.jpg,366,376,572,792
000719.jpg,158,87,130,180
000720.jpg,90,92,195,270
000721.jpg,952,252,385,533
000722.jpg,46,87,244,338
000723.jpg,345,138,395,547
000724.jpg,84,54,114,158
000725.jpg,16,33,140,194
000726.jpg,205,84,185,256
000727.jpg,440,99,208,288
000728.jpg,198,140,445,616
000729.jpg,61,53,237,328
000730.jpg,47,35,112,155
000731.jpg,123,15,65,90
000732.jpg,50,94,211,292
000733.jpg,71,131,265,366
000734.jpg,387,48,208,288
000735.jpg,38,36,226,313
000736.jpg,81,58,120,166
000737.jpg,995,138,367,508
000738.jpg,131,101,218,302
000739.jpg,91,60,44,61
000740.jpg,276,55,83,115
000741.jpg,138,48,101,140
000742.jpg,96,42,205,284
000743.jpg,130,64,130,180
000744.jpg,32,30,91,126
000745.jpg,78,55,187,259
000746.jpg,710,80,117,162
000747.jpg,106,45,122,169
000748.jpg,231,7,260,360
000749.jpg,280,47,88,122
000750.jpg,18,21,47,65
000751.jpg,283,102,153,212
000752.jpg,80,83,159,220
000753.jpg,165,40,187,259
000754.jpg,167,93,99,137
000755.jpg,205,59,239,331
000756.jpg,313,94,57,79
000757.jpg,190,50,168,248
000758.jpg,105,63,153,212
000759.jpg,154,52,153,212
000760.jpg,58,37,117,162
000761.jpg,106,89,205,284
000762.jpg,91,96,231,320
000763.jpg,90,93,179,248
000764.jpg,172,46,203,281
000765.jpg,283,83,140,194
000766.jpg,79,34,96,133
000767.jpg,104,84,200,277
000768.jpg,73,41,86,119
000769.jpg,179,142,190,263
000770.jpg,126,15,117,162
000771.jpg,621,169,601,832
000772.jpg,37,82,226,313
000773.jpg,291,130,421,583
000774.jpg,237,86,192,266
000775.jpg,73,107,213,295
000776.jpg,283,84,452,596
000777.jpg,49,77,122,169
000778.jpg,213,94,86,119
000779.jpg,140,79,164,227
000780.jpg,106,151,283,392
000781.jpg,274,94,203,281
000782.jpg,134,9,200,277
000783.jpg,123,59,125,173
000784.jpg,155,42,107,148
000785.jpg,108,57,148,205
000786.jpg,104,37,99,137
000787.jpg,36,74,195,270
000788.jpg,41,79,120,166
000789.jpg,51,26,109,151
000790.jpg,43,103,234,324
000791.jpg,202,130,369,511
000792.jpg,71,24,96,133
000793.jpg,125,57,109,151
000794.jpg,389,263,208,288
000795.jpg,189,70,213,291
000796.jpg,134,83,213,295
000797.jpg,181,38,153,212
000798.jpg,102,124,205,284
000799.jpg,287,129,161,223
000800.jpg,98,96,198,274
000801.jpg,73,64,270,374
000802.jpg,585,144,195,270
000803.jpg,75,66,166,230
000804.jpg,65,42,88,122
000805.jpg,384,83,75,104
000806.jpg,35,14,112,155
000807.jpg,243,60,75,104
000808.jpg,109,49,213,285
000809.jpg,153,151,588,814
000810.jpg,122,77,99,137
000811.jpg,45,67,192,266
000812.jpg,24,1,278,385
000813.jpg,72,57,265,367
000814.jpg,493,1188,1188,1645
000815.jpg,72,48,143,198
000816.jpg,95,27,83,115
000817.jpg,68,43,159,220
000818.jpg,22,49,135,187
000819.jpg,120,72,122,169
000820.jpg,1,62,283,358
000821.jpg,217,99,185,256
000822.jpg,616,58,146,202
000823.jpg,113,50,159,220
000824.jpg,156,36,96,133
000825.jpg,137,137,265,367
000826.jpg,73,74,179,248
000827.jpg,29,9,52,72
000828.jpg,172,45,218,302
000829.jpg,304,145,247,342
000830.jpg,182,98,125,173
000831.jpg,155,115,166,230
000832.jpg,1,106,244,281
000833.jpg,42,82,179,248
000834.jpg,109,173,343,475
000835.jpg,71,104,273,378
000836.jpg,122,123,359,497
000837.jpg,78,59,86,119
000838.jpg,130,78,101,140
000839.jpg,257,51,133,184
000840.jpg,144,51,101,140
000841.jpg,237,104,172,238
000842.jpg,112,85,229,317
000843.jpg,189,16,78,108
000844.jpg,84,77,302,418
000845.jpg,57,35,146,202
000846.jpg,98,38,174,241
000847.jpg,101,49,247,342
000848.jpg,167,12,286,396
000849.jpg,333,364,562,778
000850.jpg,147,50,101,140
000851.jpg,42,83,255,353
000852.jpg,5,119,172,238
000853.jpg,158,8,330,457
000854.jpg,61,76,114,158
000855.jpg,116,32,198,274
000856.jpg,123,107,174,241
000857.jpg,81,88,255,353
000858.jpg,91,92,130,180
000859.jpg,135,22,153,212
000860.jpg,572,465,1001,1386
000861.jpg,45,53,172,238
000862.jpg,349,57,127,176
000863.jpg,100,42,57,79
000864.jpg,123,39,78,108
000865.jpg,489,234,858,1188
000866.jpg,138,74,107,148
000867.jpg,123,48,143,198
000868.jpg,188,127,255,353
000869.jpg,208,121,130,180
000870.jpg,178,45,143,198
000871.jpg,264,30,185,256
000872.jpg,84,95,247,342
000873.jpg,43,11,185,256
000874.jpg,169,116,107,148
000875.jpg,66,99,179,248
000876.jpg,136,103,177,245
000877.jpg,311,200,317,439
000878.jpg,115,33,70,97
000879.jpg,125,50,177,245
000880.jpg,102,65,130,180
000881.jpg,267,104,174,241
000882.jpg,211,48,109,151
000883.jpg,135,126,135,187
000884.jpg,74,70,190,263
000885.jpg,700,48,868,1202
000886.jpg,58,45,224,310
000887.jpg,34,9,55,76
000888.jpg,52,13,88,122
000889.jpg,55,55,104,144
000890.jpg,377,121,296,410
000891.jpg,37,47,153,212
000892.jpg,21,102,257,356
000893.jpg,155,125,166,230
000894.jpg,86,85,185,256
000895.jpg,90,167,148,205
000896.jpg,299,240,512,709
000897.jpg,27,72,229,317
000898.jpg,86,135,192,266
000899.jpg,124,84,237,328
000900.jpg,528,154,276,382
000901.jpg,115,124,333,461
000902.jpg,51,54,239,331
000903.jpg,113,105,312,432
000904.jpg,413,1,400,554
000905.jpg,131,11,284,400
000906.jpg,128,20,122,169
000907.jpg,68,71,289,400
000908.jpg,313,58,156,216
000909.jpg,115,159,205,284
000910.jpg,190,37,96,133
000911.jpg,93,80,177,245
000912.jpg,26,54,148,205
000913.jpg,407,81,224,310
000914.jpg,151,40,164,227
000915.jpg,69,30,88,122
000916.jpg,125,39,146,202
000917.jpg,294,41,208,288
000918.jpg,120,74,122,169
000919.jpg,111,109,169,234
000920.jpg,56,42,135,187
000921.jpg,106,61,120,166
000922.jpg,422,98,325,450
000923.jpg,132,72,133,184
000924.jpg,130,85,192,266
000925.jpg,80,41,91,126
000926.jpg,96,12,213,295
000927.jpg,160,79,182,252
000928.jpg,52,48,104,144
000929.jpg,121,99,187,259
